Entry	Gene Names (primary)	Gene Names	Protein names
P0DN25	C1GALT1C1L	C1GALT1C1L	C1GALT1-specific chaperone 1-like protein
P0DN26	PPIAL4F	PPIAL4F	Peptidyl-prolyl cis-trans isomerase A-like 4F (PPIase A-like 4F) (EC 5.2.1.8)
P0DO92	CDIPTOSP	CDIPTOSP CDIPT-AS1 T-ENOL	Putative protein T-ENOL (CDIP transferase opposite strand, pseudogene) (CDIPT antisense RNA 1)
P0DO97	CCDC192	CCDC192 LINC01183	Coiled-coil domain-containing protein 192
P0DOY5	IGHD1-1	IGHD1-1	Immunoglobulin heavy diversity 1-1
P0DP75	MED14OS	MED14OS MED14-AS1	Putative uncharacterized protein MED14OS (MED14 antisense gene protein 1) (MED14 opposite strand protein)
P0DPA3	SNHG28	SNHG28 C1orf204	Putative uncharacterized protein SNHG28 (Small nucleolar RNA host gene 2) (VSIG8 overlapping transcript protein) (VSIG8-OT1)
P0DPD5	ZNF723	ZNF723	Zinc finger protein 723
P0DPE3	TMDD1	TMDD1 C12orf81	Transmembrane and death domain protein 1
P0DPF2	NBPF20	NBPF20	NBPF family member NBPF20 (Neuroblastoma breakpoint family member 20)
P0DPF6	CDRT15P3	CDRT15P3 C2orf27B	Putative uncharacterized protein CDRT15P3
P0DPH9	CXorf51B	CXorf51B	Uncharacterized protein CXorf51B
P0DPI3	CENPVL2	CENPVL2 CENPVP2	Centromere protein V-like protein 2 (Centromere protein V pseudogene 2)
P0DPI4	TRBD1	TRBD1	T cell receptor beta diversity 1
P0DPQ3	PRR20G	PRR20G	Proline-rich protein 20G
P0DPR3	TRDD1	TRDD1	T cell receptor delta diversity 1
P0DQW0	ZC3H11C	ZC3H11C	Zinc finger CCCH domain-containing protein 11C
P0DSN6	TAS2R33	TAS2R33	Putative taste receptor type 2 member 33 (T2R33) (hGR33)
P0DSO1	FAM246C	FAM246C	Protein FAM246C
P0DSO3	GAGE4	GAGE4	G antigen 4 (Cancer/testis antigen 4.4) (CT4.4)
P0DTA3	SPDYE11	SPDYE11	Speedy protein E11
P0DTE0	TAS2R36	TAS2R36	Putative taste receptor type 2 member 36 (T2R36) (hGR36)
P0DTF9	PTTG1IP2	PTTG1IP2	PTTG1IP family member 2
P0DTL4	LY6S	LY6S	Lymphocyte antigen 6S
P0DUD1	SPDYE8	SPDYE8	Speedy protein E8
P0DUD2	SPDYE17	SPDYE17	Speedy protein E17
P0DUD3	SPDYE14	SPDYE14	Speedy protein E14
P0DUD4	SPDYE15	SPDYE15	Speedy protein E15
P0DUQ1	PRAMEF15	PRAMEF15	PRAME family member 15
P0DUX0	SPDYE10	SPDYE10 SPDYE10P	Speedy protein E10
P0DUX1	SPDYE12	SPDYE12 SPDYE12P	Speedy protein E12
P0DV73	FAM90A16	FAM90A16 FAM90A16P	Protein FAM90A16
P0DV74	FAM90A17	FAM90A17 FAM90A17P	Protein FAM90A17
P0DV75	FAM90A18	FAM90A18 FAM90A18P	Protein FAM90A18
P0DV76	FAM90A19	FAM90A19 FAM90A19P	Protein FAM90A19
P0DV79	SPDYE18	SPDYE18	Speedy protein E18
P0DW11	TAF11L6	TAF11L6	TATA-box-binding protein-associated factor 11-like protein 6
P0DW12	TAF11L7	TAF11L7	TATA-box-binding protein-associated factor 11-like protein 7
P0DW13	TAF11L8	TAF11L8	TATA-box-binding protein-associated factor 11-like protein 8
P0DW14	TAF11L10	TAF11L10	TATA-box-binding protein-associated factor 11-like protein 10
P0DX00	GOLGA6L24	GOLGA6L24	Golgin subfamily A member 6-like protein 24
P0DX01	GOLGA6L25	GOLGA6L25	Golgin subfamily A member 6-like protein 25
P0DX02	GOLGA6L26	GOLGA6L26	Golgin subfamily A member 6-like protein 26
P0DX04	TMSB15C	TMSB15C	Thymosin beta-15C
P0DX52	GOLGA8F	GOLGA8F	Golgin subfamily A member 8F
P0DY27	DEFB109C	DEFB109C	Beta-defensin 109C
P22103			Pneumadin (PNM)
P49223	SPINT3	SPINT3	Kunitz-type protease inhibitor 3 (HKIB9)
P56555	DSCR4	DSCR4 DCRB DSCRB	Down syndrome critical region protein 4 (Down syndrome critical region protein B)
P58505	C21orf58	C21orf58	Uncharacterized protein C21orf58
P58512	LINC01547	LINC01547 C21orf67 C21orf69	Uncharacterized protein encoded by LINC01547
P58550	FXYD6P3	FXYD6P3 FXYD8	Putative FXYD domain-containing ion transport regulator 8
P59036	LINC00310	LINC00310 C21orf82 NCRNA00310	Putative uncharacterized protein encoded by LINC00310
P59037	LINC00313	LINC00313 C21orf84 NCRNA00313	Putative uncharacterized protein encoded by LINC00313
P59052	B3GALT5-AS1	B3GALT5-AS1 C21orf88	Putative uncharacterized protein B3GALT5-AS1 (B3GALT5 antisense RNA 1) (B3GALT5 antisense gene protein 1)
P59091	LINC00315	LINC00315 C21orf93 NCRNA00315	Putative uncharacterized protein encoded by LINC00315
P59095	STARD6	STARD6	StAR-related lipid transfer protein 6 (START domain-containing protein 6) (StARD6)
P60606	CTXN1	CTXN1 CTXN	Cortexin-1
P61568	ERVK11-1	ERVK11-1	Putative endogenous retrovirus group K member 11-1 Env polyprotein (Envelope polyprotein) (HERV-K_1p13.3 provirus ancestral Env polyprotein) [Includes: Truncated surface protein (SU)]
P61571	ERVK-21	ERVK-21	Endogenous retrovirus group K member 21 Rec protein (HERV-K_12q14.1 provirus Rec protein)
P61572	ERVK-19	ERVK-19	Endogenous retrovirus group K member 19 Rec protein (HERV-K(C19) Rec protein) (HERV-K_19q11 provirus Rec protein)
P61573	ERVK-9	ERVK-9	Endogenous retrovirus group K member 9 Rec protein (HERV-K(C6) Rec protein) (HERV-K109 Rec protein) (HERV-K_6q14.1 provirus Rec protein)
P61574	HERVK_113	HERVK_113	Endogenous retrovirus group K member 113 Rec protein (HERV-K113 Rec protein) (HERV-K_19p13.11 provirus Rec protein)
P61575	ERVK-8	ERVK-8	Endogenous retrovirus group K member 8 Rec protein (HERV-K115 Rec protein) (HERV-K_8p23.1 provirus Rec protein)
P61576	HERV-K104	HERV-K104	Endogenous retrovirus group K member 104 Rec protein (HERV-K104 Rec protein) (HERV-K_5q13.3 provirus Rec protein)
P61578	ERVK-16	ERVK-16	Endogenous retrovirus group K member 16 Rec protein (HERV-K_10p14 provirus Rec protein)
P61579	ERVK-25	ERVK-25	Endogenous retrovirus group K member 25 Rec protein (Endogenous retrovirus group K member 25) (HERV-K_11q22.1 provirus Rec protein)
P61580	ERVK-10	ERVK-10	Endogenous retrovirus group K member 10 Np9 protein (HERV-K10 Np9 protein) (HERV-K107 Np9 protein) (HERV-K_5q33.3 provirus Np9 protein)
P61581	ERVK-24	ERVK-24	Endogenous retrovirus group K member 24 Np9 protein (HERV-K101 Np9 protein) (HERV-K_22q11.21 provirus Np9 protein)
P61582	ERVK-7	ERVK-7	Endogenous retrovirus group K member 7 Np9 protein (HERV-K(III) Np9 protein) (HERV-K102 Np9 protein) (HERV-K_1q22 provirus Np9 protein)
P61583	ERVK-5	ERVK-5 ERVK5	Endogenous retrovirus group K member 5 Np9 protein (Endogenous retrovirus K protein 5) (HERV-K(II) Np9 protein) (HERV-K_3q12.3 provirus Np9 protein)
P86434	ADORA2A-AS1	ADORA2A-AS1 C22orf45	Putative uncharacterized protein ADORA2A-AS1 (ADORA2A antisense RNA 1) (ADORA2A antisense gene protein 1)
P86478	PRR20E	PRR20E	Proline-rich protein 20E
P86481	PRR20B	PRR20B	Proline-rich protein 20B
P86496	PRR20A	PRR20A PRR20	Proline-rich protein 20A
Q05C16	LRRC63	LRRC63	Leucine-rich repeat-containing protein 63
Q08AI8	MAB21L4	MAB21L4 C2orf54	Protein mab-21-like 4
Q08E93	FAM27E3	FAM27E3	Protein FAM27E3
Q0D2K2	KLHL30	KLHL30	Kelch-like protein 30
Q0D2K5	EGFEM1P	EGFEM1P C3orf50 NCRNA00259	Putative EGF-like and EMI domain-containing protein 1
Q0IIN9	ZNF252P-AS1	ZNF252P-AS1 C8orf77	Putative uncharacterized protein ZNF252P-AS1 (ZNF252P antisense RNA 1) (ZNF252P antisense gene protein 1)
Q0P5P2	C17orf67	C17orf67	Uncharacterized protein C17orf67
Q0P641	C2orf80	C2orf80	Uncharacterized protein C2orf80
Q0P670	SPEM2	SPEM2 C17orf74	Uncharacterized protein SPEM2
Q0P6H9	TMEM62	TMEM62	Transmembrane protein 62
Q0VAA2	LRRC74A	LRRC74A C14orf166B LRRC74	Leucine-rich repeat-containing protein 74A (Leucine-rich repeat-containing protein 74)
Q0VDI3	TMEM267	TMEM267 C5orf28	Transmembrane protein 267
Q0VF49	KIAA2012	KIAA2012	Uncharacterized protein KIAA2012
Q12766	HMGXB3	HMGXB3 KIAA0194 SMF	HMG domain-containing protein 3 (HMG box-containing protein 3) (Protein SMF)
Q13070	GAGE6	GAGE6	G antigen 6 (GAGE-6) (Cancer/testis antigen 4.6) (CT4.6)
Q13278	RIG	RIG	Putative protein RIG (Protein regulated in glioma)
Q13670	PMS2P11	PMS2P11 PMS2L11 PMSR6	Putative postmeiotic segregation increased 2-like protein 11 (PMS2-related protein 6) (Putative postmeiotic segregation increased 2 pseudogene 11)
Q14236	DIAPH2-AS1	DIAPH2-AS1 EPAG	Early lymphoid activation gene protein (DIAPH2 antisense RNA 1) (DIAPH2 antisense gene protein 1)
Q147U7	SMCO1	SMCO1 C3orf43	Single-pass membrane and coiled-coil domain-containing protein 1 (Single-pass membrane protein with coiled-coil domains 1)
Q15053	KIAA0040	KIAA0040	Uncharacterized protein KIAA0040
Q15195	PLGLA	PLGLA PLGLA1 PLGP2 PRGA	Plasminogen-like protein A (Plasminogen-like protein A1) (Plasminogen-related protein A)
Q15527	SURF2	SURF2	Surfeit locus protein 2 (Surf-2)
Q156A1	ATXN8	ATXN8	Ataxin-8 (Protein 1C2)
Q15846	CLUL1	CLUL1	Clusterin-like protein 1 (Retinal-specific clusterin-like protein)
Q15940	ZNF726P1	ZNF726P1 ZNF67 ZNF67P	Putative zinc finger protein 726P1
Q16473	TNXA	TNXA XA	Putative tenascin-XA (TN-XA)
Q17RA5	EPCIP-AS1	EPCIP-AS1 C21orf49 C21orf62-AS1	Putative uncharacterized protein EPCIP-AS1 (C21orf62 antisense RNA 1) (C21orf62 antisense gene protein 1) (EPCIP antisense RNA 1)
Q17RM4	CCDC142	CCDC142 PSEC0243	Coiled-coil domain-containing protein 142
Q17RP2	TIGD6	TIGD6	Tigger transposable element-derived protein 6
Q17RQ9	NKPD1	NKPD1	NTPase KAP family P-loop domain-containing protein 1
Q1A5X6	IQCJ	IQCJ	IQ domain-containing protein J
Q1A5X7	WHAMMP3	WHAMMP3 WHAMML1 WHDC1L1	Putative WASP homolog-associated protein with actin, membranes and microtubules-like protein 1 (WAS protein homolog associated with actin, Golgi membranes and microtubules pseudogene 3) (WAS protein homology region 2 domain-containing protein 1-like protein 1) (WH2 domain-containing protein 1-like protein 1) (WHDC1-like protein 1)
Q1AE95	TMEM183BP	TMEM183BP C1orf37-dup TMEM183B	Putative transmembrane protein 183BP (Transmembrane protein 183B pseudogene)
Q1T7F1			Putative chemokine-related protein B42
Q1W209	ESRG	ESRG HESRG	Embryonic stem cell-related gene protein (hES cell-related gene protein)
Q2M238	RRN3P1	RRN3P1	Putative RRN3-like protein RRN3P1 (RNA polymerase I transcription factor homolog pseudogene 1)
Q2M243	CCDC27	CCDC27	Coiled-coil domain-containing protein 27
Q2M2E5	LINC03122	LINC03122 C5orf64	Uncharacterized protein encoded by LINC03122 (Long intergenic non-protein coding RNA 3122)
Q2M3A8	MRGPRG-AS1	MRGPRG-AS1 C11orf36 HSD-40 HSD40	Putative uncharacterized protein MRGPRG-AS1 (MRGPRG antisense RNA 1) (MRGPRG antisense gene protein 1)
Q2TAM9	TUSC1	TUSC1	Tumor suppressor candidate gene 1 protein (TSG-9) (TSG9)
Q30KQ7	DEFB113	DEFB113 DEFB13	Beta-defensin 113 (Beta-defensin 13) (DEFB-13) (Defensin, beta 113)
Q32M84	BTBD16	BTBD16 C10orf87	BTB/POZ domain-containing protein 16
Q32M92	C15orf32	C15orf32	Uncharacterized protein C15orf32
Q3B7S5	SMIM21	SMIM21 C18orf62	Small integral membrane protein 21
Q3C1V0	MS4A18	MS4A18	Membrane-spanning 4-domains subfamily A member 18
Q3C1V1	C11orf91	C11orf91	Uncharacterized protein C11orf91
Q3C1V9			Putative uncharacterized protein ENSP00000334305
Q3KRA6	C2orf76	C2orf76	UPF0538 protein C2orf76
Q3LHN0	KRTAP25-1	KRTAP25-1 KAP25.1	Keratin-associated protein 25-1
Q3LHN1	KRTAP21-3	KRTAP21-3 KAP21.3	Keratin-associated protein 21-3
Q3LI54	KRTAP19-8	KRTAP19-8 KAP19.8	Keratin-associated protein 19-8
Q3LI58	KRTAP21-1	KRTAP21-1 KAP21.1	Keratin-associated protein 21-1
Q3LI60	KRTAP20-3	KRTAP20-3 KAP20.3	Keratin-associated protein 20-3
Q3LI62	KRTAP20-4	KRTAP20-4 KAP20.4	Putative keratin-associated protein 20-4
Q3LI63	KRTAP20-1	KRTAP20-1 KAP20.1	Keratin-associated protein 20-1
Q3LI68	KRTAP22-2	KRTAP22-2 KAP22.2	Keratin-associated protein 22-2
Q3MIP1	ITPRIPL2	ITPRIPL2	Inositol 1,4,5-trisphosphate receptor-interacting protein-like 2
Q3MIV0	KRTAP22-1	KRTAP22-1 KAP22.1	Keratin-associated protein 22-1
Q3MJ40	CCDC144BP	CCDC144BP CCDC144B	Putative coiled-coil domain-containing protein 144B (Coiled-coil domain-containing protein 144B, pseudogene)
Q3SXM0	DCAF4L1	DCAF4L1 WDR21B	DDB1- and CUL4-associated factor 4-like protein 1 (WD repeat-containing protein 21B)
Q3SY05	LINC00303	LINC00303 C1orf157 NCRNA00303	Putative uncharacterized protein encoded by LINC00303
Q3SYA9	POM121L1P	POM121L1P POM121L1	Putative POM121-like protein 1
Q3Y452	TDRG1	TDRG1	Testis development-related protein 1
Q3ZCU0	GVQW3	GVQW3	Protein GVQW3 (GVQW motif-containing protein 3)
Q3ZCV2	CIMAP2	CIMAP2 LEM LEXM C1orf177	Ciliary microtubule-associated protein 2 (Lymphocyte expansion molecule)
Q3ZLR7	SUPT20HL1	SUPT20HL1 FAM48B1	Transcription factor SPT20 homolog-like 1
Q494R0	FBXL19-AS1	FBXL19-AS1 NCRNA00095	Putative uncharacterized protein FBXL19-AS1 (FBXL19 antisense RNA 1) (FBXL19 antisense gene protein 1)
Q495Y7	SPDYE7P	SPDYE7P	Putative speedy protein E7 (Speedy protein E7 pseudogene)
Q495Y8	SPDYE2	SPDYE2	Speedy protein E2
Q495Z4	ASB16-AS1	ASB16-AS1 C17orf65	Putative uncharacterized protein ASB16-AS1 (ASB16 antisense RNA 1) (ASB16 antisense gene protein 1)
Q49A33	ZNF876P	ZNF876P	Putative zinc finger protein 876
Q49AM3	TTC31	TTC31	Tetratricopeptide repeat protein 31 (TPR repeat protein 31)
Q49AS3	LRRC37A5P	LRRC37A5P C9orf29	Putative protein LRRC37A5P (Leucine-rich repeat-containing 37 member A5 pseudogene)
Q4AC99	ACCSL	ACCSL	Probable inactive 1-aminocyclopropane-1-carboxylate synthase-like protein 2 (ACC synthase-like protein 2)
Q4G0G2	H1-10-AS1	H1-10-AS1 C3orf47 H1FX-AS1	Putative uncharacterized protein H1-10-AS1 (H1-10 antisense RNA 1) (H1FX antisense RNA 1)
Q4G0G5	SCGB2B2	SCGB2B2 SCGB4A2 SCGBL	Secretoglobin family 2B member 2 (Secretoglobin-like protein)
Q4G0N0	GGTA1	GGTA1 GGTA1P	Inactive N-acetyllactosaminide alpha-1,3-galactosyltransferase (Glycoprotein alpha-galactosyltransferase 1 pseudogene)
Q4G0N7	FAM229B	FAM229B C6orf225	Protein FAM229B
Q4QY38	DEFB134	DEFB134	Beta-defensin 134 (Defensin, beta 134)
Q4UJ75	ANKRD20A4P	ANKRD20A4P ANKRD20A4	Putative ankyrin repeat domain-containing protein 20A4 (Ankyrin repeat domain-containing protein 20A4 pseudogene)
Q4V321	GAGE13	GAGE13 GAGE12A	G antigen 13 (GAGE-13) (G antigen 12A) (GAGE-12A)
Q4V326	GAGE2E	GAGE2E	G antigen 2E (GAGE-2E)
Q4V348	ZNF658B	ZNF658B	Zinc finger protein 658B
Q4VC31	MIX23	MIX23 CCDC58	Protein MIX23 (Coiled-coil domain-containing protein 58)
Q4VX62	LINC02901	LINC02901 C6orf99	Putative uncharacterized protein LINC02901 (Long intergenic non-protein coding RNA 2901)
Q4W4Y0	DORIP1	DORIP1 C14orf28 DRIP1	Dopamine receptor-interacting protein 1
Q4W5G0	TIGD2	TIGD2	Tigger transposable element-derived protein 2
Q502X0	MORN2	MORN2 MOPT	MORN repeat-containing protein 2 (MORN motif protein in testis)
Q52LC2	ATP6AP1L	ATP6AP1L	V-type proton ATPase subunit S1-like protein (Vacuolar proton pump subunit S1-like protein)
Q537H7	SPATA45	SPATA45 C1orf227 HSD-44 HSD44	Spermatogenesis-associated protein 45
Q538Z0	LUZP6	LUZP6 MPD6	Leucine zipper protein 6 (Myeloproliferative disease-associated 6 kDa antigen)
Q53LP3	SOWAHC	SOWAHC ANKRD57 C2orf26	Ankyrin repeat domain-containing protein SOWAHC (Ankyrin repeat domain-containing protein 57) (Protein sosondowah homolog C)
Q53RE8	ANKRD39	ANKRD39 HSPC200	Ankyrin repeat domain-containing protein 39
Q53SZ7	PRR30	PRR30 C2orf53	Proline-rich protein 30
Q569G3	C5orf47	C5orf47	Uncharacterized protein C5orf47
Q569K6	CCDC157	CCDC157 KIAA1656	Coiled-coil domain-containing protein 157
Q59GN2	RPL39P5	RPL39P5	Putative ribosomal protein eL39-like 5 (60S ribosomal protein L39 pseudogene 5) (Putative 60S ribosomal protein L39-like 5)
Q5BKU9	OXLD1	OXLD1 C17orf90	Oxidoreductase-like domain-containing protein 1
Q5BKY1	LRRC10	LRRC10	Leucine-rich repeat-containing protein 10
Q5BKY6			Putative uncharacterized protein DKFZp434K191
Q5CZ79	ANKRD20A8P	ANKRD20A8P ANKRD20B	Ankyrin repeat domain-containing protein 20B (Ankyrin repeat domain-containing protein 20A pseudogene)
Q5DJT8	CT45A2	CT45A2 CT45-2	Cancer/testis antigen family 45 member A2 (Cancer/testis antigen 45-2) (Cancer/testis antigen 45A2)
Q5EBN2	TRIM61	TRIM61 RNF35	Putative tripartite motif-containing protein 61 (RING finger protein 35)
Q5FWF7	FBXO48	FBXO48 FBX48	F-box only protein 48 (F-box protein 48)
Q5GAN3	RNASE13	RNASE13	Probable inactive ribonuclease-like protein 13
Q5GAN4	RNASE12	RNASE12	Probable inactive ribonuclease-like protein 12
Q5H8A3	NMS	NMS	Neuromedin-S
Q5H943	CT83	CT83 CXorf61 KKLC1	Kita-kyushu lung cancer antigen 1 (KK-LC-1) (Cancer/testis antigen 83)
Q5H9B9	BMP2KL	BMP2KL	Putative BMP-2-inducible kinase-like protein
Q5H9E4	SLC25A53	SLC25A53 MCART6	Solute carrier family 25 member 53 (Mitochondrial carrier triple repeat protein 6)
Q5H9J9	TCP11X2	TCP11X2	T-complex protein 11-like X-linked protein 2
Q5HY64	FAM47C	FAM47C	Putative protein FAM47C
Q5HYC2	BRD10	BRD10 KIAA2026	Uncharacterized bromodomain-containing protein 10
Q5HYW3	RTL5	RTL5 KIAA2001 RGAG4	Retrotransposon Gag-like protein 5 (Retrotransposon gag domain-containing protein 4)
Q5JNZ5	RPS26P11	RPS26P11 RPS26L1	Putative ribosomal protein eS26-like (Putative 40S ribosomal protein S26-like 1)
Q5JQD4	PYY3	PYY3	Putative peptide YY-3 (Putative peptide YY3) (PYY-III)
Q5JRK9	PAGE2B	PAGE2B GAGEE3	Putative G antigen family E member 3 (Prostate-associated gene 2B protein) (PAGE-2B)
Q5JSQ8	KHDC1L	KHDC1L	KHDC1-like protein
Q5JSS6	MEIG1	MEIG1	Meiosis expressed gene 1 protein homolog
Q5JTB6	PLAC9	PLAC9	Placenta-specific protein 9
Q5JTN6	WDR38	WDR38	WD repeat-containing protein 38
Q5JTZ5	C9orf152	C9orf152	Uncharacterized protein C9orf152
Q5JUQ0	FAM78A	FAM78A C9orf59	Protein FAM78A
Q5JUR7	TEX30	TEX30 C13orf27	Testis-expressed protein 30
Q5JVX7	C1orf141	C1orf141	Uncharacterized protein C1orf141
Q5JWF8	ACTL10	ACTL10 C20orf134	Actin-like protein 10
Q5JXB2	UBE2NL	UBE2NL	Putative ubiquitin-conjugating enzyme E2 N-like (Epididymis tissue protein Li 174)
Q5JXX7	TMEM31	TMEM31	Transmembrane protein 31
Q5JYT7	KIAA1755	KIAA1755	Uncharacterized protein KIAA1755
Q5K130	CLLU1-AS1	CLLU1-AS1 CLLU1OS	Putative uncharacterized protein CLLU1-AS1 (CLLU1 antisense RNA 1) (Chronic lymphocytic leukemia up-regulated protein 1 opposite strand transcript protein)
Q5K131	CLLU1	CLLU1	Chronic lymphocytic leukemia up-regulated protein 1
Q5MJ07	SPANXN5	SPANXN5	Sperm protein associated with the nucleus on the X chromosome N5 (Nuclear-associated protein SPAN-Xn5) (SPANX-N5) (SPANX family member N5)
Q5MJ08	SPANXN4	SPANXN4	Sperm protein associated with the nucleus on the X chromosome N4 (Nuclear-associated protein SPAN-Xn4) (SPANX-N4) (SPANX family member N4)
Q5MNV8	FBXO47	FBXO47	F-box only protein 47
Q5NE16	CTSL3P	CTSL3P CTSL3	Putative inactive cathepsin L-like protein CTSL3P (Cathepsin L3 pseudogene) (HCTSL-s)
Q5QFB9	PAPPA-AS1	PAPPA-AS1 DIPAS PAPPAS	Protein PAPPAS (DIPLA1 antisense RNA 1) (DIPLA1 antisense gene protein 1) (DIPLA1-antisense expressed) (PAPPAS antisense RNA 1) (PAPPAS antisense gene protein 1) (PAPPAS-antisense expressed)
Q5QJ38	TCHHL1	TCHHL1 S100A17 THHL1	Trichohyalin-like protein 1 (Basalin) (Protein S100-A17) (S100 calcium-binding protein A17)
Q5R3I4	TTC38	TTC38	Tetratricopeptide repeat protein 38 (TPR repeat protein 38)
Q5SQ80	ANKRD20A2P	ANKRD20A2P ANKRD20A2	Putative ankyrin repeat domain-containing protein 20A2 (Ankyrin repeat domain-containing protein 20A2 pseudogene)
Q5SQH8	C6orf136	C6orf136	Uncharacterized protein C6orf136
Q5SQS7	SH2D4B	SH2D4B	SH2 domain-containing protein 4B
Q5SQS8	C10orf120	C10orf120	Uncharacterized protein C10orf120
Q5SR53	PIK3CD-AS1	PIK3CD-AS1 C1orf200	Putative uncharacterized protein PIK3CD-AS1 (PIK3CD antisense RNA 1) (PIK3CD antisense gene protein 1)
Q5SRD1	TIMM23B	TIMM23B	Mitochondrial import inner membrane translocase subunit Tim23B (TIMM23B)
Q5SVJ3	SPMIP3	SPMIP3 C1orf100	Protein SPMIP3 (Sperm-associated microtubule inner protein 3)
Q5SVZ6	ZMYM1	ZMYM1	Zinc finger MYM-type protein 1
Q5SWH9	TMEM69	TMEM69 C1orf154 HSPC229	Transmembrane protein 69
Q5SWL7	PRAMEF14	PRAMEF14	PRAME family member 14
Q5SWL8	PRAMEF19	PRAMEF19	PRAME family member 19
Q5SY13	COL5A1-AS1	COL5A1-AS1 C9orf104	Putative uncharacterized protein encoded by COL5A1-AS1 (COL5A1 antisense RNA 1) (COL5A1 antisense gene protein 1)
Q5SZB4	C9orf50	C9orf50	Uncharacterized protein C9orf50
Q5T035	FAM120A2P	FAM120A2P C9orf129	Putative uncharacterized protein FAM120A2P (FAM120A2P pseudogene)
Q5T036	FAM120AOS	FAM120AOS C9orf10OS	Uncharacterized protein FAM120AOS (FAM120A opposite strand protein)
Q5T089	MORN1	MORN1	MORN repeat-containing protein 1
Q5T0U0	CCDC122	CCDC122	Coiled-coil domain-containing protein 122
Q5T0Z8	C6orf132	C6orf132	Uncharacterized protein C6orf132
Q5T2N8	ATAD3C	ATAD3C	ATPase family AAA domain-containing protein 3C
Q5T2Q4	CCNYL2	CCNYL2 C10orf21	Cyclin-Y-like protein 2
Q5T4H9	MIR1915HG	MIR1915HG C10orf114 CASC10	Putative uncharacterized protein encoded by MIR1915-HG (Cancer susceptibility 10 protein) (Cancer susceptibility candidate gene 10 protein) (MIR1915 host gene protein)
Q5T4I8	C6orf52	C6orf52	Putative uncharacterized protein C6orf52
Q5T5F5	ADAMTSL4-AS1	ADAMTSL4-AS1 C1orf138	Uncharacterized protein ADAMTSL4-AS1 (ADAMTSL4 antisense RNA 1) (ADAMTSL4 antisense gene protein 1)
Q5T5N4	C6orf118	C6orf118	Uncharacterized protein C6orf118
Q5T6C5	ATXN7L2	ATXN7L2	Ataxin-7-like protein 2
Q5T6M2	LINC00242	LINC00242 C6orf122 NCRNA00242	Putative uncharacterized protein encoded by LINC00242
Q5T6R2	TPTE2P1	TPTE2P1	Putative phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase TPTE2P1
Q5T6X4	FAM162B	FAM162B C6orf189	Protein FAM162B
Q5T742	ZNF22-AS1	ZNF22-AS1 C10orf25	Uncharacterized protein ZNF22-AS1 (ZNF22 antisense RNA 1)
Q5T750	KPLCE	KPLCE C1orf68 LEP7 XP32	Protein KPLCE (KPRP N-terminal and LCE C-terminal-like protein) (Skin-specific protein 32)
Q5T8I3	EEIG2	EEIG2 FAM102B	EEIG family member 2 (EEIG2)
Q5T8R8	DOCK8-AS1	DOCK8-AS1 C9orf66	Uncharacterized protein DOCK8-AS1 (DOCK8 antisense RNA 1)
Q5T953	IER5L	IER5L	Immediate early response gene 5-like protein
Q5T9Z0	TEDDM1	TEDDM1 HE9	Transmembrane epididymal protein 1 (Human epididymis-specific protein 9) (He9)
Q5TAA0	TTC22	TTC22	Tetratricopeptide repeat protein 22 (TPR repeat protein 22)
Q5TBE3	C9orf153	C9orf153	Uncharacterized protein C9orf153
Q5TBK1	N4BP2L1	N4BP2L1 CG081	NEDD4-binding protein 2-like 1
Q5TC04	ATP1A1-AS1	ATP1A1-AS1 ATP1A1OS C1orf203	Putative uncharacterized protein ATP1A1-AS1 (ATP1A1 antisense RNA 1) (ATP1A1 antisense gene protein 1) (ATP1A1 opposite strand protein)
Q5TC84	OGFRL1	OGFRL1	Opioid growth factor receptor-like protein 1
Q5TF58	IFFO2	IFFO2	Intermediate filament family orphan 2
Q5TG53	SERTAD4-AS1	SERTAD4-AS1 C1orf133	Putative uncharacterized protein SERTAD4-AS1 (SERTAD4 antisense RNA 1) (SERTAD4 antisense gene protein 1)
Q5TGI0	FAXC	FAXC C6orf168	Failed axon connections homolog
Q5TGJ6	HDGFL1	HDGFL1 PWWP1	Hepatoma-derived growth factor-like protein 1 (PWWP domain-containing protein 1)
Q5TGL8	PXDC1	PXDC1 C6orf145	PX domain-containing protein 1
Q5TGP6	MROH9	MROH9 C1orf129	Maestro heat-like repeat-containing protein family member 9
Q5TYW2	ANKRD20A1	ANKRD20A1 ANKRD20A	Ankyrin repeat domain-containing protein 20A1
Q5U4N7	GDF5-AS1	GDF5-AS1 GDF5OS	Protein GDF5-AS1, mitochondrial (GDF5 antisense RNA 1) (Growth/differentiation factor 5 opposite strand transcript protein)
Q5U4P2	ASPHD1	ASPHD1	Aspartate beta-hydroxylase domain-containing protein 1 (EC 1.14.11.-)
Q5U5X8	FAM222A	FAM222A C12orf34	Protein FAM222A
Q5U649	C12orf60	C12orf60	Uncharacterized protein C12orf60
Q5VSP4	LCN1P1	LCN1P1 LCN1L1	Putative lipocalin 1-like protein 1 (Lipocalin 1-like pseudogene 1)
Q5VSR9	SPANXN1	SPANXN1	Sperm protein associated with the nucleus on the X chromosome N1 (Nuclear-associated protein SPAN-Xn1) (SPANX-N1) (SPANX family member N1)
